age,net_cash,percentage,product_type,product_name
25,10000,5,crypto,btc
25,10000,10,crypto,btc
25,10000,15,crypto,btc
25,10000,20,crypto,btc
25,10000,25,crypto,btc
25,10000,30,crypto,btc
25,10000,35,crypto,btc
25,10000,40,crypto,btc
25,10000,45,crypto,btc
25,10000,50,crypto,btc
25,10000,55,crypto,btc
25,10000,60,crypto,btc
25,10000,65,crypto,btc
25,10000,70,crypto,btc
25,10000,75,crypto,btc
25,10000,80,crypto,btc
25,10000,85,crypto,btc
25,10000,90,crypto,btc
25,10000,95,crypto,btc
25,10000,100,crypto,btc
30,10000,5,crypto,btc
30,10000,10,crypto,btc
30,10000,15,crypto,btc
30,10000,20,crypto,btc
30,10000,25,crypto,btc
30,10000,30,crypto,btc
30,10000,35,crypto,btc
30,10000,40,crypto,btc
30,10000,45,crypto,btc
30,10000,50,crypto,btc
30,10000,55,crypto,btc
30,10000,60,crypto,btc
30,10000,65,crypto,btc
30,10000,70,crypto,btc
30,10000,75,crypto,btc
30,10000,80,crypto,btc
30,10000,85,crypto,btc
30,10000,90,crypto,btc
30,10000,95,crypto,btc
30,10000,100,crypto,btc
35,10000,5,crypto,btc
35,10000,10,crypto,btc
35,10000,15,crypto,btc
35,10000,20,crypto,btc
35,10000,25,crypto,btc
35,10000,30,crypto,btc
35,10000,35,crypto,btc
35,10000,40,crypto,btc
35,10000,45,crypto,btc
35,10000,50,crypto,btc
35,10000,55,crypto,btc
35,10000,60,crypto,btc
35,10000,65,crypto,btc
35,10000,70,crypto,btc
35,10000,75,crypto,btc
35,10000,80,crypto,btc
35,10000,85,crypto,btc
35,10000,90,crypto,btc
35,10000,95,crypto,btc
35,10000,100,crypto,btc
40,10000,5,crypto,btc
40,10000,10,crypto,btc
40,10000,15,crypto,btc
40,10000,20,crypto,btc
40,10000,25,crypto,btc
40,10000,30,crypto,btc
40,10000,35,crypto,btc
40,10000,40,crypto,btc
40,10000,45,crypto,btc
40,10000,50,crypto,btc
40,10000,55,crypto,btc
40,10000,60,crypto,btc
40,10000,65,crypto,btc
40,10000,70,crypto,btc
40,10000,75,crypto,btc
40,10000,80,crypto,btc
40,10000,85,crypto,btc
40,10000,90,crypto,btc
40,10000,95,crypto,btc
40,10000,100,crypto,btc
45,10000,5,crypto,btc
45,10000,10,crypto,btc
45,10000,15,crypto,btc
45,10000,20,crypto,btc
45,10000,25,crypto,btc
45,10000,30,crypto,btc
45,10000,35,crypto,btc
45,10000,40,crypto,btc
45,10000,45,crypto,btc
45,10000,50,crypto,btc
45,10000,55,crypto,btc
45,10000,60,crypto,btc
45,10000,65,crypto,btc
45,10000,70,crypto,btc
45,10000,75,crypto,btc
45,10000,80,crypto,btc
45,10000,85,crypto,btc
45,10000,90,crypto,btc
45,10000,95,crypto,btc
45,10000,100,crypto,btc
50,10000,5,crypto,btc
50,10000,10,crypto,btc
50,10000,15,crypto,btc
50,10000,20,crypto,btc
50,10000,25,crypto,btc
50,10000,30,crypto,btc
50,10000,35,crypto,btc
50,10000,40,crypto,btc
50,10000,45,crypto,btc
50,10000,50,crypto,btc
50,10000,55,crypto,btc
50,10000,60,crypto,btc
50,10000,65,crypto,btc
50,10000,70,crypto,btc
50,10000,75,crypto,btc
50,10000,80,crypto,btc
50,10000,85,crypto,btc
50,10000,90,crypto,btc
50,10000,95,crypto,btc
50,10000,100,crypto,btc
55,10000,5,crypto,btc
55,10000,10,crypto,btc
55,10000,15,crypto,btc
55,10000,20,crypto,btc
55,10000,25,crypto,btc
55,10000,30,crypto,btc
55,10000,35,crypto,btc
55,10000,40,crypto,btc
55,10000,45,crypto,btc
55,10000,50,crypto,btc
55,10000,55,crypto,btc
55,10000,60,crypto,btc
55,10000,65,crypto,btc
55,10000,70,crypto,btc
55,10000,75,crypto,btc
55,10000,80,crypto,btc
55,10000,85,crypto,btc
55,10000,90,crypto,btc
55,10000,95,crypto,btc
55,10000,100,crypto,btc
60,10000,5,crypto,btc
60,10000,10,crypto,btc
60,10000,15,crypto,btc
60,10000,20,crypto,btc
60,10000,25,crypto,btc
60,10000,30,crypto,btc
60,10000,35,crypto,btc
60,10000,40,crypto,btc
60,10000,45,crypto,btc
60,10000,50,crypto,btc
60,10000,55,crypto,btc
60,10000,60,crypto,btc
60,10000,65,crypto,btc
60,10000,70,crypto,btc
60,10000,75,crypto,btc
60,10000,80,crypto,btc
60,10000,85,crypto,btc
60,10000,90,crypto,btc
60,10000,95,crypto,btc
60,10000,100,crypto,btc
65,10000,5,crypto,btc
65,10000,10,crypto,btc
65,10000,15,crypto,btc
65,10000,20,crypto,btc
65,10000,25,crypto,btc
65,10000,30,crypto,btc
65,10000,35,crypto,btc
65,10000,40,crypto,btc
65,10000,45,crypto,btc
65,10000,50,crypto,btc
65,10000,55,crypto,btc
65,10000,60,crypto,btc
65,10000,65,crypto,btc
65,10000,70,crypto,btc
65,10000,75,crypto,btc
65,10000,80,crypto,btc
65,10000,85,crypto,btc
65,10000,90,crypto,btc
65,10000,95,crypto,btc
65,10000,100,crypto,btc
70,10000,5,crypto,btc
70,10000,10,crypto,btc
70,10000,15,crypto,btc
70,10000,20,crypto,btc
70,10000,25,crypto,btc
70,10000,30,crypto,btc
70,10000,35,crypto,btc
70,10000,40,crypto,btc
70,10000,45,crypto,btc
70,10000,50,crypto,btc
70,10000,55,crypto,btc
70,10000,60,crypto,btc
70,10000,65,crypto,btc
70,10000,70,crypto,btc
70,10000,75,crypto,btc
70,10000,80,crypto,btc
70,10000,85,crypto,btc
70,10000,90,crypto,btc
70,10000,95,crypto,btc
70,10000,100,crypto,btc
