age,net_cash,percentage,product_type,product_name
25,10000,5,stock,tesla
25,10000,10,stock,tesla
25,10000,15,stock,tesla
25,10000,20,stock,tesla
25,10000,25,stock,tesla
25,10000,30,stock,tesla
25,10000,35,stock,tesla
25,10000,40,stock,tesla
25,10000,45,stock,tesla
25,10000,50,stock,tesla
25,10000,55,stock,tesla
25,10000,60,stock,tesla
25,10000,65,stock,tesla
25,10000,70,stock,tesla
25,10000,75,stock,tesla
25,10000,80,stock,tesla
25,10000,85,stock,tesla
25,10000,90,stock,tesla
25,10000,95,stock,tesla
25,10000,100,stock,tesla
30,10000,5,stock,tesla
30,10000,10,stock,tesla
30,10000,15,stock,tesla
30,10000,20,stock,tesla
30,10000,25,stock,tesla
30,10000,30,stock,tesla
30,10000,35,stock,tesla
30,10000,40,stock,tesla
30,10000,45,stock,tesla
30,10000,50,stock,tesla
30,10000,55,stock,tesla
30,10000,60,stock,tesla
30,10000,65,stock,tesla
30,10000,70,stock,tesla
30,10000,75,stock,tesla
30,10000,80,stock,tesla
30,10000,85,stock,tesla
30,10000,90,stock,tesla
30,10000,95,stock,tesla
30,10000,100,stock,tesla
35,10000,5,stock,tesla
35,10000,10,stock,tesla
35,10000,15,stock,tesla
35,10000,20,stock,tesla
35,10000,25,stock,tesla
35,10000,30,stock,tesla
35,10000,35,stock,tesla
35,10000,40,stock,tesla
35,10000,45,stock,tesla
35,10000,50,stock,tesla
35,10000,55,stock,tesla
35,10000,60,stock,tesla
35,10000,65,stock,tesla
35,10000,70,stock,tesla
35,10000,75,stock,tesla
35,10000,80,stock,tesla
35,10000,85,stock,tesla
35,10000,90,stock,tesla
35,10000,95,stock,tesla
35,10000,100,stock,tesla
40,10000,5,stock,tesla
40,10000,10,stock,tesla
40,10000,15,stock,tesla
40,10000,20,stock,tesla
40,10000,25,stock,tesla
40,10000,30,stock,tesla
40,10000,35,stock,tesla
40,10000,40,stock,tesla
40,10000,45,stock,tesla
40,10000,50,stock,tesla
40,10000,55,stock,tesla
40,10000,60,stock,tesla
40,10000,65,stock,tesla
40,10000,70,stock,tesla
40,10000,75,stock,tesla
40,10000,80,stock,tesla
40,10000,85,stock,tesla
40,10000,90,stock,tesla
40,10000,95,stock,tesla
40,10000,100,stock,tesla
45,10000,5,stock,tesla
45,10000,10,stock,tesla
45,10000,15,stock,tesla
45,10000,20,stock,tesla
45,10000,25,stock,tesla
45,10000,30,stock,tesla
45,10000,35,stock,tesla
45,10000,40,stock,tesla
45,10000,45,stock,tesla
45,10000,50,stock,tesla
45,10000,55,stock,tesla
45,10000,60,stock,tesla
45,10000,65,stock,tesla
45,10000,70,stock,tesla
45,10000,75,stock,tesla
45,10000,80,stock,tesla
45,10000,85,stock,tesla
45,10000,90,stock,tesla
45,10000,95,stock,tesla
45,10000,100,stock,tesla
50,10000,5,stock,tesla
50,10000,10,stock,tesla
50,10000,15,stock,tesla
50,10000,20,stock,tesla
50,10000,25,stock,tesla
50,10000,30,stock,tesla
50,10000,35,stock,tesla
50,10000,40,stock,tesla
50,10000,45,stock,tesla
50,10000,50,stock,tesla
50,10000,55,stock,tesla
50,10000,60,stock,tesla
50,10000,65,stock,tesla
50,10000,70,stock,tesla
50,10000,75,stock,tesla
50,10000,80,stock,tesla
50,10000,85,stock,tesla
50,10000,90,stock,tesla
50,10000,95,stock,tesla
50,10000,100,stock,tesla
55,10000,5,stock,tesla
55,10000,10,stock,tesla
55,10000,15,stock,tesla
55,10000,20,stock,tesla
55,10000,25,stock,tesla
55,10000,30,stock,tesla
55,10000,35,stock,tesla
55,10000,40,stock,tesla
55,10000,45,stock,tesla
55,10000,50,stock,tesla
55,10000,55,stock,tesla
55,10000,60,stock,tesla
55,10000,65,stock,tesla
55,10000,70,stock,tesla
55,10000,75,stock,tesla
55,10000,80,stock,tesla
55,10000,85,stock,tesla
55,10000,90,stock,tesla
55,10000,95,stock,tesla
55,10000,100,stock,tesla
60,10000,5,stock,tesla
60,10000,10,stock,tesla
60,10000,15,stock,tesla
60,10000,20,stock,tesla
60,10000,25,stock,tesla
60,10000,30,stock,tesla
60,10000,35,stock,tesla
60,10000,40,stock,tesla
60,10000,45,stock,tesla
60,10000,50,stock,tesla
60,10000,55,stock,tesla
60,10000,60,stock,tesla
60,10000,65,stock,tesla
60,10000,70,stock,tesla
60,10000,75,stock,tesla
60,10000,80,stock,tesla
60,10000,85,stock,tesla
60,10000,90,stock,tesla
60,10000,95,stock,tesla
60,10000,100,stock,tesla
65,10000,5,stock,tesla
65,10000,10,stock,tesla
65,10000,15,stock,tesla
65,10000,20,stock,tesla
65,10000,25,stock,tesla
65,10000,30,stock,tesla
65,10000,35,stock,tesla
65,10000,40,stock,tesla
65,10000,45,stock,tesla
65,10000,50,stock,tesla
65,10000,55,stock,tesla
65,10000,60,stock,tesla
65,10000,65,stock,tesla
65,10000,70,stock,tesla
65,10000,75,stock,tesla
65,10000,80,stock,tesla
65,10000,85,stock,tesla
65,10000,90,stock,tesla
65,10000,95,stock,tesla
65,10000,100,stock,tesla
70,10000,5,stock,tesla
70,10000,10,stock,tesla
70,10000,15,stock,tesla
70,10000,20,stock,tesla
70,10000,25,stock,tesla
70,10000,30,stock,tesla
70,10000,35,stock,tesla
70,10000,40,stock,tesla
70,10000,45,stock,tesla
70,10000,50,stock,tesla
70,10000,55,stock,tesla
70,10000,60,stock,tesla
70,10000,65,stock,tesla
70,10000,70,stock,tesla
70,10000,75,stock,tesla
70,10000,80,stock,tesla
70,10000,85,stock,tesla
70,10000,90,stock,tesla
70,10000,95,stock,tesla
70,10000,100,stock,tesla
