age,net_cash,percentage,product_type,product_name,gender
55,100000,1,stock,google,male
55,100000,2,stock,google,male
55,100000,3,stock,google,male
55,100000,4,stock,google,male
55,100000,5,stock,google,male
55,100000,6,stock,google,male
55,100000,7,stock,google,male
55,100000,8,stock,google,male
55,100000,9,stock,google,male
55,100000,10,stock,google,male
55,100000,15,stock,google,male
55,100000,20,stock,google,male
55,100000,30,stock,google,male
55,100000,40,stock,google,male
55,100000,50,stock,google,male
55,100000,60,stock,google,male
55,100000,70,stock,google,male
55,100000,80,stock,google,male
55,100000,90,stock,google,male
55,100000,100,stock,google,male
