age,gender,net_cash,percentage,product_type,product_name
70,female,500000,70,crypto,DOGE
40,female,100000,75,crypto,ETH
25,female,10000000,75,crypto,ETH
60,male,1000000,85,stock,Coca-Cola
55,female,100000,70,crypto,XRP
50,male,50000,80,stock,Coca-Cola
30,male,1000000,5,stock,Coca-Cola
40,male,10000000,50,crypto,SOL
55,male,5000,95,stock,JPMorgan
65,male,10000000,15,crypto,DOGE
50,male,500000,25,stock,TESLA
30,male,5000000,75,stock,Coca-Cola
40,female,5000000,75,stock,APPLE
60,female,10000000,100,stock,APPLE
25,female,50000,80,crypto,SOL
60,male,5000,60,stock,APPLE
60,male,10000,45,stock,Coca-Cola
55,male,100000,85,stock,JPMorgan
25,female,100000,35,crypto,SOL
25,male,5000,75,stock,APPLE
35,male,10000000,50,crypto,DOGE
50,female,50000,5,crypto,XRP
25,female,1000000,20,crypto,SOL
60,male,10000,10,stock,TESLA
40,female,5000000,65,crypto,ETH
55,male,10000,35,stock,GOOGLE
50,female,10000000,70,stock,GOOGLE
50,female,5000,90,crypto,ETH
65,male,50000,35,stock,JPMorgan
70,female,50000,50,crypto,DOGE
70,female,10000000,15,crypto,DOGE
25,male,5000000,65,crypto,ETH
55,male,10000000,50,crypto,SOL
50,male,5000,15,stock,JPMorgan
55,male,50000,70,stock,Coca-Cola
45,male,1000000,95,crypto,BTC
65,female,5000,100,stock,GOOGLE
25,male,500000,10,crypto,XRP
25,female,10000,100,stock,Coca-Cola
70,male,10000,100,crypto,BTC
70,male,1000000,15,stock,Coca-Cola
30,female,500000,80,crypto,SOL
30,male,50000,70,crypto,BTC
40,female,50000,30,stock,TESLA
55,male,10000000,85,crypto,BTC
25,male,10000,60,crypto,ETH
70,female,5000,95,stock,GOOGLE
35,female,5000000,50,stock,Coca-Cola
25,male,5000000,10,stock,GOOGLE
65,male,5000,45,stock,JPMorgan
40,male,10000000,50,stock,TESLA
50,female,5000,45,crypto,SOL
65,male,5000000,55,stock,TESLA
65,male,5000000,70,stock,Coca-Cola
40,male,10000,50,stock,JPMorgan
70,female,5000000,55,stock,JPMorgan
