age,net_cash,percentage,product_type,product_name
25,10000,5,stock,google
25,10000,10,stock,google
25,10000,15,stock,google
25,10000,20,stock,google
25,10000,25,stock,google
25,10000,30,stock,google
25,10000,35,stock,google
25,10000,40,stock,google
25,10000,45,stock,google
25,10000,50,stock,google
25,10000,55,stock,google
25,10000,60,stock,google
25,10000,65,stock,google
25,10000,70,stock,google
25,10000,75,stock,google
25,10000,80,stock,google
25,10000,85,stock,google
25,10000,90,stock,google
25,10000,95,stock,google
25,10000,100,stock,google
30,10000,5,stock,google
30,10000,10,stock,google
30,10000,15,stock,google
30,10000,20,stock,google
30,10000,25,stock,google
30,10000,30,stock,google
30,10000,35,stock,google
30,10000,40,stock,google
30,10000,45,stock,google
30,10000,50,stock,google
30,10000,55,stock,google
30,10000,60,stock,google
30,10000,65,stock,google
30,10000,70,stock,google
30,10000,75,stock,google
30,10000,80,stock,google
30,10000,85,stock,google
30,10000,90,stock,google
30,10000,95,stock,google
30,10000,100,stock,google
35,10000,5,stock,google
35,10000,10,stock,google
35,10000,15,stock,google
35,10000,20,stock,google
35,10000,25,stock,google
35,10000,30,stock,google
35,10000,35,stock,google
35,10000,40,stock,google
35,10000,45,stock,google
35,10000,50,stock,google
35,10000,55,stock,google
35,10000,60,stock,google
35,10000,65,stock,google
35,10000,70,stock,google
35,10000,75,stock,google
35,10000,80,stock,google
35,10000,85,stock,google
35,10000,90,stock,google
35,10000,95,stock,google
35,10000,100,stock,google
40,10000,5,stock,google
40,10000,10,stock,google
40,10000,15,stock,google
40,10000,20,stock,google
40,10000,25,stock,google
40,10000,30,stock,google
40,10000,35,stock,google
40,10000,40,stock,google
40,10000,45,stock,google
40,10000,50,stock,google
40,10000,55,stock,google
40,10000,60,stock,google
40,10000,65,stock,google
40,10000,70,stock,google
40,10000,75,stock,google
40,10000,80,stock,google
40,10000,85,stock,google
40,10000,90,stock,google
40,10000,95,stock,google
40,10000,100,stock,google
45,10000,5,stock,google
45,10000,10,stock,google
45,10000,15,stock,google
45,10000,20,stock,google
45,10000,25,stock,google
45,10000,30,stock,google
45,10000,35,stock,google
45,10000,40,stock,google
45,10000,45,stock,google
45,10000,50,stock,google
45,10000,55,stock,google
45,10000,60,stock,google
45,10000,65,stock,google
45,10000,70,stock,google
45,10000,75,stock,google
45,10000,80,stock,google
45,10000,85,stock,google
45,10000,90,stock,google
45,10000,95,stock,google
45,10000,100,stock,google
50,10000,5,stock,google
50,10000,10,stock,google
50,10000,15,stock,google
50,10000,20,stock,google
50,10000,25,stock,google
50,10000,30,stock,google
50,10000,35,stock,google
50,10000,40,stock,google
50,10000,45,stock,google
50,10000,50,stock,google
50,10000,55,stock,google
50,10000,60,stock,google
50,10000,65,stock,google
50,10000,70,stock,google
50,10000,75,stock,google
50,10000,80,stock,google
50,10000,85,stock,google
50,10000,90,stock,google
50,10000,95,stock,google
50,10000,100,stock,google
55,10000,5,stock,google
55,10000,10,stock,google
55,10000,15,stock,google
55,10000,20,stock,google
55,10000,25,stock,google
55,10000,30,stock,google
55,10000,35,stock,google
55,10000,40,stock,google
55,10000,45,stock,google
55,10000,50,stock,google
55,10000,55,stock,google
55,10000,60,stock,google
55,10000,65,stock,google
55,10000,70,stock,google
55,10000,75,stock,google
55,10000,80,stock,google
55,10000,85,stock,google
55,10000,90,stock,google
55,10000,95,stock,google
55,10000,100,stock,google
60,10000,5,stock,google
60,10000,10,stock,google
60,10000,15,stock,google
60,10000,20,stock,google
60,10000,25,stock,google
60,10000,30,stock,google
60,10000,35,stock,google
60,10000,40,stock,google
60,10000,45,stock,google
60,10000,50,stock,google
60,10000,55,stock,google
60,10000,60,stock,google
60,10000,65,stock,google
60,10000,70,stock,google
60,10000,75,stock,google
60,10000,80,stock,google
60,10000,85,stock,google
60,10000,90,stock,google
60,10000,95,stock,google
60,10000,100,stock,google
65,10000,5,stock,google
65,10000,10,stock,google
65,10000,15,stock,google
65,10000,20,stock,google
65,10000,25,stock,google
65,10000,30,stock,google
65,10000,35,stock,google
65,10000,40,stock,google
65,10000,45,stock,google
65,10000,50,stock,google
65,10000,55,stock,google
65,10000,60,stock,google
65,10000,65,stock,google
65,10000,70,stock,google
65,10000,75,stock,google
65,10000,80,stock,google
65,10000,85,stock,google
65,10000,90,stock,google
65,10000,95,stock,google
65,10000,100,stock,google
70,10000,5,stock,google
70,10000,10,stock,google
70,10000,15,stock,google
70,10000,20,stock,google
70,10000,25,stock,google
70,10000,30,stock,google
70,10000,35,stock,google
70,10000,40,stock,google
70,10000,45,stock,google
70,10000,50,stock,google
70,10000,55,stock,google
70,10000,60,stock,google
70,10000,65,stock,google
70,10000,70,stock,google
70,10000,75,stock,google
70,10000,80,stock,google
70,10000,85,stock,google
70,10000,90,stock,google
70,10000,95,stock,google
70,10000,100,stock,google
